source,target,mode_of_regulation,weight
ADA2,LETM1,1,1
ADA2,LIAS,1,1
ADA2,LIG4,1,1
ADA2,LINC00244,1,1
ADA2,LINC00667,1,1
ADA2,LINC00853,1,1
ADA2,LINC01132,1,1
ADA2,LINC01410,1,1
ADA2,LINC01547,1,1
ADA2,LINC02142,1,1
ADA2,LINC03057,1,1
ADA2,LINC03065,1,1
ADA2,LMAN2,1,1
ADA2,LMOD1,1,1
ADA2,LOXL1,1,1
ADA2,LOXL1-AS1,1,1
ADA2,LRRC32,1,1
ADA2,LRRC37A5P,1,1
ADA2,LRRC49,1,1
ADA2,LRRC58,1,1
ADA2,LSG1,1,1
ADA2,LSM5,1,1
ADA2,LTN1,1,1
ADA2,LZIC,1,1
ADA2,MAD2L2,1,1
ADA2,MAF1,1,1
ADA2,MAGI1,1,1
ADA2,MAIP1,1,1
ADA2,MAMDC2-AS1,1,1
ADA2,MAML2,1,1
ADA2,MAN1A2,1,1
ADA2,MAN2C1,1,1
ADA2,MAP3K10,1,1
ADA2,MAP3K8,1,1
ADA2,MARK4,1,1
ADA2,MBTPS2,1,1
ADA2,MCAT,1,1
ADA2,MCEE,1,1
ADA2,MCM3AP,1,1
ADA2,MCM4,1,1
ADA2,MCM7,1,1
ADA2,MCOLN1,1,1
ADA2,MDGA1,1,1
ADA2,MDH1,1,1
ADA2,MECOM,1,1
ADA2,MED18,1,1
ADA2,MED22,1,1
ADA2,MED23,1,1
ADA2,MEIS2,1,1
ADA2,METTL15,1,1
ADA2,METTL9,1,1
ADA2,MFAP2,1,1
ADA2,MFSD11,1,1
ADA2,MFSD12,1,1
ADA2,MINPP1,1,1
ADA2,MIR1302-3,1,1
ADA2,MIR1538,1,1
ADA2,MIR3677HG,1,1
ADA2,MIR3928,1,1
ADA2,MIR7-3,1,1
ADA2,MIR7-3HG,1,1
ADA2,MIR9-2HG,1,1
ADA2,MITD1,1,1
ADA2,MKNK2,1,1
ADA2,MKRN1,1,1
ADA2,MKRN2,1,1
ADA2,MKRN3,1,1
ADA2,MLEC,1,1
ADA2,MNAT1,1,1
ADA2,MNX1,1,1
ADA2,MNX1-AS1,1,1
ADA2,MPHOSPH10,1,1
ADA2,MPLKIP,1,1
ADA2,MRPL1,1,1
ADA2,MRPL13,1,1
ADA2,MRPL16,1,1
ADA2,MRPL18,1,1
ADA2,MRPL21,1,1
ADA2,MRPL3,1,1
ADA2,MRPL30,1,1
ADA2,MRPL39,1,1
ADA2,MRPL40,1,1
ADA2,MRPL44,1,1
ADA2,MRPL48,1,1
ADA2,MRPL51,1,1
ADA2,MRPL54,1,1
ADA2,MRPL58,1,1
ADA2,MRPS18C,1,1
ADA2,MRPS22,1,1
ADA2,MRPS31,1,1
ADA2,MRPS31P4,1,1
ADA2,MRPS31P5,1,1
ADA2,MRPS34,1,1
ADA2,MSL1,1,1
ADA2,MST1,1,1
ADA2,MTBP,1,1
ADA2,MTCO3P12,1,1
ADA2,MTERF4,1,1
ADA2,MTG1,1,1
