statistic,source,condition,score,p_value,comparison
ulm,HOXD11,avg_log2FC,0.420186189768907,0.674397384230597,Micro-PVM_Frontal
ulm,HSD17B8,avg_log2FC,-3.08093747857175,0.00209336050826993,Micro-PVM_Frontal
ulm,HSF2,avg_log2FC,3.89797619682452,0.000100396789249175,Micro-PVM_Frontal
ulm,ID1,avg_log2FC,1.04025227025387,0.298356260253451,Micro-PVM_Frontal
ulm,ID2,avg_log2FC,-1.5277498152302,0.12674261737459,Micro-PVM_Frontal
ulm,IGLV5_37,avg_log2FC,-0.560561188122415,0.575163404833519,Micro-PVM_Frontal
ulm,INSM2,avg_log2FC,0.661914015090417,0.508107322490631,Micro-PVM_Frontal
ulm,IRF5,avg_log2FC,-1.29597356636556,0.195143416505123,Micro-PVM_Frontal
ulm,IRX2,avg_log2FC,0.650596597736801,0.515386300764695,Micro-PVM_Frontal
ulm,KAT2A,avg_log2FC,0.346066560340967,0.729331354866172,Micro-PVM_Frontal
ulm,KAT5,avg_log2FC,1.73863624730595,0.0822622108360444,Micro-PVM_Frontal
ulm,KDM1B,avg_log2FC,-1.66061443192285,0.0969573960727692,Micro-PVM_Frontal
ulm,KLF14,avg_log2FC,-0.501613302710756,0.615998200429788,Micro-PVM_Frontal
ulm,KLF7,avg_log2FC,0.779188974102652,0.435966317004618,Micro-PVM_Frontal
ulm,KMT2D,avg_log2FC,1.64260013841406,0.100632658709468,Micro-PVM_Frontal
ulm,LCORL,avg_log2FC,0.285483998718159,0.775304760321961,Micro-PVM_Frontal
ulm,LHX2,avg_log2FC,0.436708218627873,0.662373038618045,Micro-PVM_Frontal
ulm,LHX9,avg_log2FC,-0.385166664599743,0.700157441218615,Micro-PVM_Frontal
ulm,LMTK3,avg_log2FC,-1.07516493739429,0.282438633964456,Micro-PVM_Frontal
ulm,MAFG,avg_log2FC,-1.11100505330043,0.26670801480196,Micro-PVM_Frontal
ulm,MAML1,avg_log2FC,1.59057127148254,0.111873955386648,Micro-PVM_Frontal
ulm,MAPK3,avg_log2FC,2.75913718404404,0.00585150149989831,Micro-PVM_Frontal
ulm,MCM3,avg_log2FC,0.243711028338914,0.807481179703643,Micro-PVM_Frontal
ulm,MED16,avg_log2FC,1.09575806717234,0.273324788849271,Micro-PVM_Frontal
ulm,MED25,avg_log2FC,-0.0401654644661701,0.967965468741574,Micro-PVM_Frontal
ulm,MEF2C,avg_log2FC,0.0277018248651852,0.977902903688775,Micro-PVM_Frontal
ulm,MEF2D,avg_log2FC,-0.61885632289532,0.536085871141947,Micro-PVM_Frontal
ulm,METHYLCYTOSINE_DIOXYGENASE_TET_UNIPROT_A0A023HHK9_UNREVIEWED,avg_log2FC,-0.0999304291050738,0.920410195968611,Micro-PVM_Frontal
ulm,METTL14,avg_log2FC,1.09613598783024,0.273159435807592,Micro-PVM_Frontal
ulm,MIER1,avg_log2FC,-1.39848370682927,0.162132531491247,Micro-PVM_Frontal
ulm,MSX1,avg_log2FC,-1.07172698054786,0.283980017682821,Micro-PVM_Frontal
ulm,MXD1,avg_log2FC,1.03637415233722,0.30016069394193,Micro-PVM_Frontal
ulm,MYBL1,avg_log2FC,0.191114888343614,0.848456187015763,Micro-PVM_Frontal
ulm,MYOCD,avg_log2FC,0.0265906905097288,0.978789016162571,Micro-PVM_Frontal
ulm,MZF1,avg_log2FC,0.909942464599217,0.362969311027081,Micro-PVM_Frontal
ulm,NAB2,avg_log2FC,-1.50053121970271,0.133644500549452,Micro-PVM_Frontal
ulm,NCOA2,avg_log2FC,0.911369482430442,0.362217381991629,Micro-PVM_Frontal
ulm,NCOA4,avg_log2FC,-0.603331953712135,0.546360544048178,Micro-PVM_Frontal
ulm,NCOA6,avg_log2FC,1.25361052527779,0.210139224766575,Micro-PVM_Frontal
ulm,NFE2L1,avg_log2FC,0.0655102073424599,0.947774733559462,Micro-PVM_Frontal
ulm,NFKBIA,avg_log2FC,-0.345730842074844,0.72958362371182,Micro-PVM_Frontal
ulm,NFXL1,avg_log2FC,-0.565289915737488,0.571943930767404,Micro-PVM_Frontal
ulm,NKX2_2,avg_log2FC,-1.46314362294297,0.143594976757126,Micro-PVM_Frontal
ulm,NKX2_3,avg_log2FC,-1.48863586539661,0.13675073207216,Micro-PVM_Frontal
ulm,NKX2_5,avg_log2FC,-1.28134125997569,0.200231594588887,Micro-PVM_Frontal
ulm,NKX2_8,avg_log2FC,-0.69863014477891,0.484869472806492,Micro-PVM_Frontal
ulm,NME2,avg_log2FC,-0.44308433341045,0.657755634436252,Micro-PVM_Frontal
ulm,NOTCH3,avg_log2FC,0.0667361527608234,0.94679883746748,Micro-PVM_Frontal
ulm,NPAT,avg_log2FC,0.851658921759685,0.394511722400967,Micro-PVM_Frontal
ulm,NPM1,avg_log2FC,-0.514457362685396,0.606992636583218,Micro-PVM_Frontal
ulm,NR0B1,avg_log2FC,1.79564624774445,0.0727110729155711,Micro-PVM_Frontal
ulm,NR1D1,avg_log2FC,0.0331169914689058,0.973584802807771,Micro-PVM_Frontal
ulm,NR1H4,avg_log2FC,0.538955145137354,0.589981516795052,Micro-PVM_Frontal
ulm,NR1I2,avg_log2FC,0.658973670424046,0.509993248398605,Micro-PVM_Frontal
ulm,NUFIP1,avg_log2FC,1.30760718560574,0.191166204384109,Micro-PVM_Frontal
ulm,OVOL3,avg_log2FC,0.501244782782811,0.61625745144317,Micro-PVM_Frontal
ulm,PAF1,avg_log2FC,-0.00364122059557227,0.997095118425229,Micro-PVM_Frontal
ulm,PAX3,avg_log2FC,-1.45759365045287,0.145119328846195,Micro-PVM_Frontal
ulm,PAX6,avg_log2FC,1.46226125279522,0.143836502926963,Micro-PVM_Frontal
ulm,PAX7,avg_log2FC,-1.95713152283615,0.0504795653722804,Micro-PVM_Frontal
ulm,PAX8,avg_log2FC,-0.25092474837268,0.801899667167886,Micro-PVM_Frontal
ulm,PBXIP1,avg_log2FC,1.33580066888675,0.181775858442173,Micro-PVM_Frontal
ulm,PCGF1,avg_log2FC,-0.88096294851185,0.378450302418475,Micro-PVM_Frontal
ulm,PCGF6,avg_log2FC,0.20202017842688,0.839922771822905,Micro-PVM_Frontal
ulm,PER1,avg_log2FC,1.60208369898071,0.109304828826179,Micro-PVM_Frontal
ulm,PGM3,avg_log2FC,1.67577868357635,0.0939475689210106,Micro-PVM_Frontal
ulm,PHB2,avg_log2FC,-0.080934134259757,0.935502934718409,Micro-PVM_Frontal
ulm,PHF21A,avg_log2FC,-0.836183400462107,0.403157830654036,Micro-PVM_Frontal
ulm,PIAS4,avg_log2FC,-1.33913373448979,0.180688763147252,Micro-PVM_Frontal
ulm,PITX1,avg_log2FC,-2.09176971561032,0.0365927800909131,Micro-PVM_Frontal
ulm,POU2AF1,avg_log2FC,-0.804109685653663,0.421435133810882,Micro-PVM_Frontal
ulm,PPARA,avg_log2FC,-0.590166993226791,0.555149512424099,Micro-PVM_Frontal
ulm,PPARGC1A,avg_log2FC,1.08052084336768,0.280048680183457,Micro-PVM_Frontal
ulm,PRDM12,avg_log2FC,0.0338424481261903,0.973006373439842,Micro-PVM_Frontal
ulm,PRDM4,avg_log2FC,1.78318953649244,0.0747164891155196,Micro-PVM_Frontal
ulm,PRDM5,avg_log2FC,0.0771628696091541,0.938502177050258,Micro-PVM_Frontal
ulm,PRKDC,avg_log2FC,-0.43935737792791,0.660453018692646,Micro-PVM_Frontal
ulm,PRMT5,avg_log2FC,0.257405859440168,0.796893605060955,Micro-PVM_Frontal
ulm,PSIP1,avg_log2FC,1.21637989358831,0.223992689957501,Micro-PVM_Frontal
ulm,PSMB5,avg_log2FC,5.47658586543574,4.91825686495811e-08,Micro-PVM_Frontal
ulm,PTPRA,avg_log2FC,0.154905450312802,0.876912458568253,Micro-PVM_Frontal
ulm,PTTG1,avg_log2FC,-0.521674445064778,0.60195837317095,Micro-PVM_Frontal
ulm,RAG1,avg_log2FC,-0.52714224604306,0.598156908378996,Micro-PVM_Frontal
ulm,RBM15,avg_log2FC,0.936755262001615,0.349004588075203,Micro-PVM_Frontal
ulm,RBM34,avg_log2FC,-0.60858882598438,0.54287041822884,Micro-PVM_Frontal
ulm,RFX7,avg_log2FC,-0.464738274122424,0.642172627548189,Micro-PVM_Frontal
ulm,RLF,avg_log2FC,-1.94245168951594,0.0522313583444669,Micro-PVM_Frontal
ulm,RORA,avg_log2FC,0.11837157375558,0.905785873753728,Micro-PVM_Frontal
ulm,RPA1,avg_log2FC,1.5992666479112,0.109929129868157,Micro-PVM_Frontal
ulm,RUVBL1,avg_log2FC,0.456998452773352,0.647724872208244,Micro-PVM_Frontal
ulm,RYBP,avg_log2FC,0.014071007228949,0.988774821673023,Micro-PVM_Frontal
ulm,SAFB2,avg_log2FC,2.24170850974151,0.0250962671489875,Micro-PVM_Frontal
ulm,SALL4,avg_log2FC,0.68547825125279,0.493126558104739,Micro-PVM_Frontal
ulm,SETBP1,avg_log2FC,-0.425003409691303,0.670882749152152,Micro-PVM_Frontal
ulm,SETD1A,avg_log2FC,-0.0427874423513129,0.965875510802654,Micro-PVM_Frontal
ulm,SETD7,avg_log2FC,2.04041959385617,0.0414477901915218,Micro-PVM_Frontal
ulm,SFMBT1,avg_log2FC,-0.588655892981904,0.556162733763802,Micro-PVM_Frontal
ulm,SIPA1,avg_log2FC,-0.505335282211028,0.613382507241079,Micro-PVM_Frontal
ulm,SIRT3,avg_log2FC,0.105727622652003,0.915809724799166,Micro-PVM_Frontal
ulm,SIX1,avg_log2FC,0.867015514883914,0.386043976658443,Micro-PVM_Frontal
ulm,SIX4,avg_log2FC,0.813146225805409,0.41623702613888,Micro-PVM_Frontal
ulm,SKIL,avg_log2FC,0.535814660325825,0.592149930531927,Micro-PVM_Frontal
ulm,SMARCA1,avg_log2FC,0.879783606632051,0.379088809724562,Micro-PVM_Frontal
ulm,SMN1_SMN2,avg_log2FC,2.53043343895475,0.011473047149871,Micro-PVM_Frontal
ulm,SNAI1,avg_log2FC,1.051970609989,0.292948011120544,Micro-PVM_Frontal
ulm,SNAPC4,avg_log2FC,0.256460806705096,0.797623056105077,Micro-PVM_Frontal
ulm,SNIP1,avg_log2FC,0.632216331057418,0.527322280417876,Micro-PVM_Frontal
ulm,SNRNP70,avg_log2FC,1.31130673431909,0.189914027702193,Micro-PVM_Frontal
ulm,SOX10,avg_log2FC,1.74538122726617,0.0810816410407305,Micro-PVM_Frontal
ulm,SOX11,avg_log2FC,-0.0856660602001021,0.931740990287947,Micro-PVM_Frontal
ulm,SOX3,avg_log2FC,-0.503789088026266,0.614468529657112,Micro-PVM_Frontal
ulm,SQSTM1,avg_log2FC,1.76291163000242,0.0780775844669281,Micro-PVM_Frontal
